ababa	a<r>bab<vr>a<va>
uyagqigqizela	u<i1>ya<asp>gqigqizel<vr>a<va>, u<i3>ya<asp>gqigqizel<vr>a<va>
uyagquma	u<i1>ya<asp>gqum<vr>a<va>, u<i2s>ya<asp>gqum<vr>a<va>, u<i3>ya<asp>gqum<vr>a<va>
uyagula	u<i1>ya<asp>gul<vr>a<va>, u<i2s>ya<asp>gul<vr>a<va>, u<i3>ya<asp>gul<vr>a<va>
uyahamba	u<i1>ya<asp>hamb<vr>a<va>, u<i2s>ya<asp>hamb<vr>a<va>, u<i3>ya<asp>hamb<vr>a<va>
uyahishwa	u<i1>ya<asp>hish<vr>w<xp>a<va>
uyahlaba	u<i1>ya<asp>hlab<vr>a<va>, u<i2s>ya<asp>hlab<vr>a<va>, u<i3>ya<asp>hlab<vr>a<va>
uyahlanya	u<i1>ya<asp>hlany<vr>a<va>, u<i2s>ya<asp>hlany<vr>a<va>, u<i3>ya<asp>hlany<vr>a<va>
uyahlekisa	u<i1>ya<asp>hlek<vr>is<xc>a<va>, u<i2s>ya<asp>hlek<vr>is<xc>a<va>, u<i3>ya<asp>hlek<vr>is<xc>a<va>, u<p2s>ya<asp>hlek<vr>is<xc>a<va>, u<p3>ya<asp>hlek<vr>is<xc>a<va>
uyahogela	u<i1>ya<asp>hogel<vr>a<va>, u<i2s>ya<asp>hogel<vr>a<va>, u<i3>ya<asp>hogel<vr>a<va>
uyakhala	u<i1>ya<asp>khal<vr>a<va>, u<i2s>ya<asp>khal<vr>a<va>, u<i3>ya<asp>khal<vr>a<va>
uyakhwishiza	u<i1>ya<asp>khwishiz<vr>a<va>
uyakukhumbula	u<i1>ya<asp>ku<o2s>khumbul<vr>a<va>, u<i2s>ya<asp>ku<o15>khumbul<vr>a<va>
uyakumlobela	u<i1>ya<fut>ku<n15>m<o1>lob<vr>el<xa>a<va>
uyakuzwa	u<i2s>ya<asp>ku<o15>zw<vr>a<va>, u<i2s>ya<asp>ku<o2s>zw<vr>a<va>, u<i3>ya<asp>ku<o15>zw<vr>a<va>
uyakwazi	u<i1>ya<asp>kw<o15>azi<vr>
uyalala	u<i1>ya<asp>lal<vr>a<va>
uyalazi	u<i2s>ya<asp>l<o5>azi<vr>
uyalilahla	u<i1>ya<asp>li<o5>lahl<vr>a<va>
uyalinganisa	u<i1>ya<asp>lingan<vr>is<xc>a<va>
uyaludinga	u<i1>ya<asp>lu<o11>ding<vr>a<va>
uyamchwensa	u<i2s>ya<asp>m<o1>chwens<vr>a<va>
uyamgcina	u<i1>ya<asp>m<o1>gcin<vr>a<va>
uyamphuzisa	u<i1>ya<asp>m<o1>phuz<vr>is<xc>a<va>
uyamvikela	u<i1>ya<asp>m<o1>vik<vr>el<xa>a<va>
uyancishana	u<i1>ya<asp>ncish<vr>an<xr>a<va>
uyangcweka	u<i1>ya<asp>ngcwek<vr>a<va>
uyaphana	u<i1>ya<asp>ph<vr>an<xr>a<va>
uyaphela	u<i1>ya<asp>phel<vr>a<va>, u<i3>ya<asp>phel<vr>a<va>
uyaphi	u<i1>y<vr>a<va>phi<adv>
uyaphupha	u<i1>ya<asp>phuph<vr>a<va>, u<i2s>ya<asp>phuph<vr>a<va>
uyaqala	u<i1>ya<asp>qal<vr>a<va>
uyasazi	u<i1>ya<asp>s<o1p>azi<vr>
uyasebenza	u<i1>ya<asp>sebenz<p1_vr>a<va>
uyathakathwa	u<i1>ya<asp>thakath<vr>w<xp>a<va>
uyathengisa	u<i1>ya<asp>theng<vr>is<xc>a<va>, u<i2s>ya<asp>theng<vr>is<xc>a<va>
uyawabala	u<i1>ya<asp>wa<o6>bal<vr>a<va>, u<i2s>ya<asp>wa<o6>bal<vr>a<va>
uyawabuka	u<i1>ya<asp>wa<o6>buk<vr>a<va>
uyawazi	u<i2s>ya<asp>w<o6>azi<vr>
uyaye	u<i1>ya<asp>y<vr>e<vps>, u<i2s>ya<asp>y<vr>e<vps>
uyayidinga	u<i1>ya<asp>yi<o4>ding<vr>a<va>, u<i1>ya<asp>yi<o9>ding<vr>a<va>, u<i2s>ya<asp>yi<o4>ding<vr>a<va>, u<i2s>ya<asp>yi<o9>ding<vr>a<va>, u<i3>ya<asp>yi<o4>ding<vr>a<va>, u<i3>ya<asp>yi<o9>ding<vr>a<va>
uyayiphika	u<i1>ya<asp>yi<o9>phik<vr>a<va>
uyayithanda	u<i1>ya<asp>yi<o4>thand<vr>a<va>, u<i1>ya<asp>yi<o9>thand<vr>a<va>
uyazama	u<i2s>ya<asp>zam<vr>a<va>
uyazi	u<i1>y<asp>azi<vr>, u<i2s>y<asp>azi<vr>
uyazibonela	u<i1>ya<asp>zi<refl>bon<vr>el<xa>a<va>
uyazibuza	u<i1>ya<asp>zi<o10>buz<vr>a<va>
uyazifunda	u<i1>ya<asp>zi<o10>fund<vr>a<va>
uyazikhohlisa	u<i1>ya<asp>zi<o10>khohl<vr>is<xc>a<va>
uyazimonyonga	u<i1>ya<asp>zi<o10>monyong<vr>a<va>, u<i2s>ya<asp>zi<o10>monyong<vr>a<va>
uyaziphendula	u<i1>ya<asp>zi<o10>phendul<vr>a<va>
uye	u<i1>y<vr>e<vps>
uyebo	u<iv_n3>yebo<adv>
uyebolekile	u<i1>ye<p1>bolek<vr>ile<vpl>
uyehle	u<i1>y<o4>ehl<vr>e<vs>, u<i1>y<o9>ehl<vr>e<vs>
uyeka	u<i1>yek<vr>a<va>, u<i2s>yek<vr>a<va>, u<i3>yek<vr>a<va>, u<p2s>yek<vr>a<va>, u<p3>yek<vr>a<va>
uyeke	u<i1>yek<vr>e<vps>
uyesabeka	u<i1>y<asp>esab<vr>ek<xn>a<va>
uyeza	u<i1>y<asp>ez<vr>a<va>
uyezwa	u<i1>y<asp>ezw<vr>a<va>
uyibeka	u<i1>yi<o4>bek<vr>a<va>, u<i1>yi<o9>bek<vr>a<va>, u<i2s>yi<o4>bek<vr>a<va>, u<i2s>yi<o9>bek<vr>a<va>, u<i3>yi<o4>bek<vr>a<va>, u<i3>yi<o9>bek<vr>a<va>, u<p2s>yi<o4>bek<vr>a<va>, u<p2s>yi<o9>bek<vr>a<va>, u<p3>yi<o9>bek<vr>a<va>
uyibhekisisa	u<i1>yi<o9>bhek<vr>isis<xi>a<va>
uyifunda	u<i1>yi<o9>fund<vr>a<va>
uyifunde	u<i1>yi<o4>fund<vr>e<vps>
uyihlo	u<iv_n1>yihlo<nr>
uyihlozala	u<i1>yi<o4>hlozal<vr>a<va>, u<i2s>yi<o4>hlozal<vr>a<va>
uyikhombisa	u<i1>yi<o4>khomb<vr>is<xc>a<va>
uyiliphi	u<i1>yi<p>li<n5>phi<ar>
uyindoda	u<iv_n1>yindoda<nr>
uyinkosikazi	u<i1>y<p>i<iv>n<n9>kosi<nr>kazi<fem>
uyinto	u<i1>y<p>i<iv>n<n9>to<nr>, u<i2s>y<p>i<iv>n<n9>to<nr>
uyiqhweba	u<i1>yi<o9>qhweb<vr>a<va>
uyisangoma	u<i1>y<p>i<iv>s<n7>angoma<nr>, u<i2s>y<p>i<iv>s<n7>angoma<nr>
uyise	u<iv_n1>yise<nr>
uyishiye	u<i1>yi<o4>shiy<vr>e<vps>
uyishonisephi	u<i1>yi<o9>shon<vr>is<xc>e<vps>phi<adv>
uyisidalwa	u<i1>y<p>i<iv>si<n7>dal<vr>w<xp>a<va>
uyisigwili	u<i2s>y<p>i<iv>si<n7>gwili<nr>
uyisiphukuphuku	u<i1>y<p>i<iv>si<n7>phuku<red>phuku<nr>
uyisithandwa	u<i2s>y<p>i<iv>si<n7>thand<vr>w<xp>a<der>
uyisiwula	u<i1>y<p>i<iv>si<n7>wula<nr>
uyisuse	u<i1>yi<o4>sus<vr>e<vps>, u<i1>yi<o9>sus<vr>e<vps>
uyithengise	u<i1>yi<o4>theng<vr>is<xc>e<vps>, u<i1>yi<o9>theng<vr>is<xc>e<vps>, u<i2s>yi<o4>theng<vr>is<xc>e<vps>, u<i2s>yi<o9>theng<vr>is<xc>e<vps>
uyitshele	u<i1>yi<o4>tshel<vr>e<vps>
uyiveza	u<i1>yi<o4>vez<vr>a<va>
uyizwa	u<i1>yi<o4>zw<vr>a<va>
uyobafaka	u<i2s>yo<fut>ba<o2>fak<vr>a<va>, u<p2s>yo<fut>ba<o2>fak<vr>a<va>, u<p3>yo<fut>ba<o2>fak<vr>a<va>
uyobona	u<i1>yo<fut>bon<vr>a<va>, u<i3>yo<fut>bon<vr>a<va>
uyocela	u<i1>yo<fut>cel<vr>a<va>, u<i2s>yo<fut>cel<vr>a<va>, u<i3>yo<fut>cel<vr>a<va>
uyochaza	u<i2s>yo<fut>chaz<vr>a<va>, u<p2s>yo<fut>chaz<vr>a<va>
uyodideka	u<i1>yo<fut>did<vr>ek<xn>a<va>, u<i2s>yo<fut>did<vr>ek<xn>a<va>, u<i3>yo<fut>did<vr>ek<xn>a<va>, u<p2s>yo<fut>did<vr>ek<xn>a<va>, u<p3>yo<fut>did<vr>ek<xn>a<va>
uyofihlelwa	u<i1>yo<fut>fihl<vr>el<xa>w<xp>a<va>
uyogcina	u<i1>yo<fut>gcin<vr>a<va>, u<i2s>yo<fut>gcin<vr>a<va>, u<i3>yo<fut>gcin<vr>a<va>
uyohamba	u<i1>yo<fut>hamb<vr>a<va>
uyohlala	u<i1>yo<fut>hlal<vr>a<va>, u<i2s>yo<fut>hlal<vr>a<va>
uyokutshela	u<i1>yo<fut>ku<o15>tshel<vr>a<va>
uyokwazi	u<i1>yo<fut>kw<n15>azi<vr>
uyokwenza	u<i1>yo<fut>kw<n15>enz<p1_vr>a<va>
uyokwenzenjani	u<i1>yo<fut>kw<n15>enz<p1_vr>e<vps>njani<adv>
uyolala	u<i2s>yo<fut>lal<vr>a<va>
uyomane	u<i1>yo<fut>mane<mr>
uyongedusa	u<i1>yo<fut>ng<o1s>edus<vr>a<va>
uyongixolela	u<i1>yo<fut>ngi<o1s>xol<vr>el<xa>a<va>
uyophilisa	u<i1>yo<fut>phil<vr>is<xc>a<va>
uyoshada	u<i1>yo<fut>shad<vr>a<va>
uyosho	u<i1>yo<fut>sho<vr>
uyosithela	u<i1>yo<fut>si<o7>thel<vr>a<va>, u<i2s>yo<fut>si<o1p>thel<vr>a<va>, u<i2s>yo<fut>sithel<vr>a<va>, u<i3>yo<fut>si<o1p>thel<vr>a<va>, u<i3>yo<fut>sithel<vr>a<va>
uyothi	u<i2s>yo<fut>thi<vr>
uyothini	u<i1>yo<fut>thi<vr>ni<int>
uyothula	u<i1>yo<fut>thul<vr>a<va>, u<i2s>yo<fut>thul<vr>a<va>, u<i3>yo<fut>thul<vr>a<va>, u<p2s>yo<fut>thul<vr>a<va>, u<p3>yo<fut>thul<vr>a<va>
uyowuthathaphi	u<i1>yo<fut>wu<o3>thath<vr>a<va>phi<adv>
uyoxoshwa	u<i1>yo<fut>xosh<vr>w<xp>a<va>
uyoyinquma	u<i1>yo<fut>yi<o9>nqum<vr>a<va>
uyoze	u<i1>yo<fut>z<vr>e<vps>, u<i1>yo<fut>ze<mr>, u<i2s>yo<fut>z<vr>e<vps>
uza	u<i1>z<vr>a<va>, u<i2s>z<vr>a<va>, u<i3>z<vr>a<va>, u<p2s>z<vr>a<va>, u<p3>z<vr>a<va>
uzace	u<i1>zac<vr>e<vps>, u<i2s>zac<vr>e<vps>, u<i3>zac<vr>e<vps>, u<p2s>zac<vr>e<vps>, u<p3>zac<vr>e<vps>, u<s2s>zac<vr>e<vs>, u<s3>zac<vr>e<vs>
uzakumchitha	u<i1>za<asp>ku<n15>m<o1>chith<vr>a<va>
uzalwa	u<i1>zal<vr>w<xp>a<va>, u<i3>zal<vr>w<xp>a<va>, u<p3>zal<vr>w<xp>a<va>
uzama	u<i1>zam<vr>a<va>, u<i2s>zam<vr>a<va>, u<i3>zam<vr>a<va>
uzame	u<i1>zam<vr>e<vps>, u<s2s>zam<vr>e<vs>
uzanele	u<iv_n1>zanele<nr>
uzazi	u<i2s>z<o10>azi<vr>
uze	u<s2s>z<vr>e<vs>
uzenza	u<i1>z<o10>enz<p1_vr>a<va>
uzenze	u<i1>z<o10>enz<p1_vr>e<vps>
uzenzelwa	u<i1>z<o10>enz<vr>el<xa>w<xp>a<va>
uzethu	u<iv_n1>zethu<nr>
uzibheke	u<i1>zi<refl>bhek<vr>e<vps>
uzibizele	u<i1>zi<o10>biz<vr>el<xa>e<vps>
uzidonsela	u<i1>zi<refl>dons<vr>el<xa>a<va>
uzihlabe	u<i1>zi<o10>hlab<vr>e<vps>, u<i2s>zi<o10>hlab<vr>e<vps>, u<i3>zi<o10>hlab<vr>e<vps>, u<p2s>zi<o10>hlab<vr>e<vps>, u<p3>zi<o10>hlab<vr>e<vps>, u<s2s>zi<o10>hlab<vr>e<vs>, u<s3>zi<o10>hlab<vr>e<vs>
uzihlalele	u<i1>zi<refl>hlal<vr>ele<vpl>
uzilalele	u<i1>zi<o10>lalel<vr>e<vps>, u<s2s>zi<o10>lalel<vr>e<vs>
uzileleni	u<i1>zi<refl>lel<vr>e<vps>ni<int>
uzilile	u<i1>zi<o10>lil<vr>e<vps>
uzimelele	u<i1>zi<refl>mel<vr>el<xa>e<vps>
uziphekele	u<i1>zi<o10>phek<vr>el<xa>e<vps>
uziphethe	u<i1>zi<o10>pheth<vr>e<vps>, u<i2s>zi<o10>pheth<vr>e<vps>, u<i3>zi<o10>pheth<vr>e<vps>, u<p2s>zi<o10>pheth<vr>e<vps>
uziphume	u<i3>zi<o10>phum<vr>e<vps>
uziqunga	u<i1>zi<o10>qung<vr>a<va>, u<i2s>zi<o10>qung<vr>a<va>, u<p2s>zi<o10>qung<vr>a<va>, u<p3>zi<o10>qung<vr>a<va>
uzithenge	u<i1>zi<o10>theng<vr>e<vps>, u<i2s>zi<o10>theng<vr>e<vps>, u<i3>zi<o10>theng<vr>e<vps>, u<p2s>zi<o10>theng<vr>e<vps>, u<p3>zi<o10>theng<vr>e<vps>, u<s2s>zi<o10>theng<vr>e<vs>
uzobona	u<i1>zo<fut>bon<vr>a<va>, u<i2s>zo<fut>bon<vr>a<va>, u<i3>zo<fut>bon<vr>a<va>, u<p2s>zo<fut>bon<vr>a<va>
uzobuyela	u<i1>zo<fut>buy<vr>el<xa>a<va>, u<i2s>zo<fut>buy<vr>el<xa>a<va>
uzocasha	u<i1>zo<fut>cash<vr>a<va>
uzochotshiswa	u<i1>zo<fut>chotsh<vr>is<xc>w<xp>a<va>
uzodlula	u<i2s>zo<fut>dlul<vr>a<va>
uzofela	u<i2s>zo<fut>f<vr>el<xa>a<va>
uzofike	u<i1>zo<fut>fik<vr>e<vps>
uzohlala	u<i1>zo<fut>hlal<vr>a<va>, u<i3>zo<fut>hlal<vr>a<va>
uzokhala	u<i1>zo<fut>khal<vr>a<va>
uzokhula	u<i1>zo<fut>khul<vr>a<va>
uzokhuphuka	u<i1>zo<fut>khuphuk<vr>a<va>
uzokuba	u<i1>zo<fut>ku<n15>b<vr>a<va>
uzokubingelela	u<i1>zo<fut>ku<o15>bingelel<vr>a<va>, u<i1>zo<fut>ku<o2s>bingelel<vr>a<va>, u<i2s>zo<fut>ku<o15>bingelel<vr>a<va>, u<i3>zo<fut>ku<o2s>bingelel<vr>a<va>, u<p3>zo<fut>ku<o15>bingelel<vr>a<va>, u<p3>zo<fut>ku<o2s>bingelel<vr>a<va>
uzokunqoba	u<i1>zo<fut>ku<o15>nqob<vr>a<va>
uzokwakhiwa	u<i3>zo<fut>kw<n15>akh<vr>iw<xp>a<va>
uzokwemuka	u<i1>zo<fut>kw<n15>emuk<vr>a<va>
uzokwenzenjani	u<i1>zo<fut>kw<n15>enz<p1_vr>e<vps>njani<adv>
uzolijwayela	u<i1>zo<fut>li<o5>jwayel<vr>a<va>
uzomangala	u<i1>zo<fut>mangal<vr>a<va>, u<i2s>zo<fut>mangal<vr>a<va>, u<i3>zo<fut>mangal<vr>a<va>
uzombulala	u<i1>zo<fut>m<o1>bulal<vr>a<va>
uzomdlisa	u<i1>zo<fut>m<o1>dl<vr>is<xc>a<va>
uzomthola	u<i1>zo<fut>m<o1>thol<vr>a<va>, u<i2s>zo<fut>m<o1>thol<vr>a<va>, u<i3>zo<fut>m<o1>thol<vr>a<va>, u<p2s>zo<fut>m<o1>thol<vr>a<va>, u<p3>zo<fut>m<o1>thol<vr>a<va>
uzondi	u<iv_n1>zondi<nr>
uzongihlasela	u<i1>zo<fut>ngi<o1s>hlasel<vr>a<va>, u<i3>zo<fut>ngi<o1s>hlasel<vr>a<va>, u<p2s>zo<fut>ngi<o1s>hlasel<vr>a<va>
uzongishiya	u<i1>zo<fut>ngi<o1s>shiy<vr>a<va>
uzongithethisa	u<i1>zo<fut>ngi<o1s>theth<vr>is<xc>a<va>, u<i2s>zo<fut>ngi<o1s>theth<vr>is<xc>a<va>, u<i3>zo<fut>ngi<o1s>theth<vr>is<xc>a<va>, u<p2s>zo<fut>ngi<o1s>theth<vr>is<xc>a<va>, u<p3>zo<fut>ngi<o1s>theth<vr>is<xc>a<va>
uzongizwa	u<i1>zo<fut>ngi<o1s>zw<vr>a<va>
uzophaphama	u<i1>zo<fut>phapham<vr>a<va>, u<i2s>zo<fut>phapham<vr>a<va>, u<i3>zo<fut>phapham<vr>a<va>
uzophila	u<i1>zo<fut>phil<vr>a<va>, u<i2s>zo<fut>phil<vr>a<va>
uzophuma	u<i1>zo<fut>phum<vr>a<va>, u<i2s>zo<fut>phum<vr>a<va>, u<i3>zo<fut>phum<vr>a<va>, u<p2s>zo<fut>phum<vr>a<va>, u<p3>zo<fut>phum<vr>a<va>
uzophumelela	u<i1>zo<fut>phumelel<vr>a<va>, u<i2s>zo<fut>phumelel<vr>a<va>, u<i3>zo<fut>phumelel<vr>a<va>, u<p2s>zo<fut>phumelel<vr>a<va>, u<p3>zo<fut>phumelel<vr>a<va>
uzophumula	u<i1>zo<fut>phumul<vr>a<va>
uzophupha	u<i1>zo<fut>phuph<vr>a<va>
uzosala	u<i1>zo<fut>sal<vr>a<va>
uzosusa	u<i1>zo<fut>sus<vr>a<va>
uzothengisa	u<i1>zo<fut>theng<vr>is<xc>a<va>, u<i2s>zo<fut>theng<vr>is<xc>a<va>, u<i3>zo<fut>theng<vr>is<xc>a<va>, u<p2s>zo<fut>theng<vr>is<xc>a<va>, u<p3>zo<fut>theng<vr>is<xc>a<va>
uzothi	u<i2s>zo<fut>thi<vr>
uzoxola	u<i1>zo<fut>xol<vr>a<va>, u<i2s>zo<fut>xol<vr>a<va>, u<i3>zo<fut>xol<vr>a<va>, u<p2s>zo<fut>xol<vr>a<va>, u<p3>zo<fut>xol<vr>a<va>
uzoxolisa	u<i1>zo<fut>xol<vr>is<xc>a<va>, u<i2s>zo<fut>xol<vr>is<xc>a<va>, u<i3>zo<fut>xol<vr>is<xc>a<va>, u<p2s>zo<fut>xol<vr>is<xc>a<va>
uzoyibiza	u<i1>zo<fut>yi<o4>biz<vr>a<va>, u<i1>zo<fut>yi<o9>biz<vr>a<va>, u<i2s>zo<fut>yi<o4>biz<vr>a<va>, u<i2s>zo<fut>yi<o9>biz<vr>a<va>, u<i3>zo<fut>yi<o4>biz<vr>a<va>, u<i3>zo<fut>yi<o9>biz<vr>a<va>, u<p2s>zo<fut>yi<o4>biz<vr>a<va>, u<p2s>zo<fut>yi<o9>biz<vr>a<va>, u<p3>zo<fut>yi<o4>biz<vr>a<va>, u<p3>zo<fut>yi<o9>biz<vr>a<va>
uzozibangela	u<i1>zo<fut>zi<o10>bang<vr>el<xa>a<va>
uzozichaza	u<i1>zo<fut>zi<refl>chaz<vr>a<va>
uzozikhunga	u<i1>zo<fut>zi<o10>khung<vr>a<va>, u<i2s>zo<fut>zi<o10>khung<vr>a<va>, u<i3>zo<fut>zi<o10>khung<vr>a<va>, u<p2s>zo<fut>zi<o10>khung<vr>a<va>, u<p3>zo<fut>zi<o10>khung<vr>a<va>
uzozithela	u<i1>zo<fut>zi<o10>thel<vr>a<va>, u<i2s>zo<fut>zi<o10>thel<vr>a<va>, u<i3>zo<fut>zi<o10>thel<vr>a<va>, u<p2s>zo<fut>zi<o10>thel<vr>a<va>, u<p3>zo<fut>zi<o10>thel<vr>a<va>
uzozumeka	u<i1>zo<fut>zum<vr>ek<xn>a<va>, u<i2s>zo<fut>zum<vr>ek<xn>a<va>, u<i3>zo<fut>zum<vr>ek<xn>a<va>
uzumekele	u<i1>zumekel<vr>e<vps>, u<i2s>zumekel<vr>e<vps>, u<p3>zumekel<vr>e<vps>
uzwide	u<iv_n1>zwide<nr>
uzwile	u<i1>zw<vr>ile<vpl>
vele	vele<adv>
vilakazi	vila<nr>kazi<aug>
vo	vo<adv>
vuka	vuk<vr>a<imp>
vuyiswa	vuy<vr>is<xc>w<xp>a<imp>
waba	w<i1>a<asp>b<vr>a<va>
wababaza	w<i1>a<asp>babaz<vr>a<va>, w<i2s>a<asp>babaz<vr>a<va>, w<i3>a<asp>babaz<vr>a<va>
wabachazela	w<i1>a<asp>ba<o2>chaz<vr>el<xa>a<va>
wabahola	w<i1>a<asp>ba<o2>hol<vr>a<va>, w<i2s>a<asp>ba<o2>hol<vr>a<va>, w<i3>a<asp>ba<o2>hol<vr>a<va>
wabakhona	w<i1>a<asp>b<vr>a<va>kho<adv>na<st>
wabaleka	w<i1>a<asp>balek<vr>a<va>, w<i2s>a<asp>balek<vr>a<va>, w<i3>a<asp>balek<vr>a<va>
wabambana	w<i1>a<asp>bamb<vr>an<xr>a<va>
wabaninda	w<i1>a<asp>ba<o2>nind<vr>a<va>
wabantwana	w<z1>a<iv>ba<n2>ntw<nr>ana<dim>, w<z1>a<iv>ba<n2>ntwana<nr>, w<z3>a<iv>ba<n2>ntwana<nr>
wabanyonkoloza	w<i1>a<asp>ba<o2>nyonkoloz<vr>a<va>
wabaqulela	w<i1>a<asp>b<o2>a<asp>qulel<vr>a<va>
wabe	w<i1>abe<mr>
wabeka	w<i1>a<asp>bek<vr>a<va>, w<i2s>a<asp>bek<vr>a<va>, w<i3>a<asp>bek<vr>a<va>
wabenzela	w<i1>a<asp>b<o2>enz<vr>el<xa>a<va>
wabhala	w<i1>a<asp>bhal<vr>a<va>, w<i2s>a<asp>bhal<vr>a<va>, w<i3>a<asp>bhal<vr>a<va>
wabheka	w<i1>a<asp>bhek<vr>a<va>, w<i2s>a<asp>bhek<vr>a<va>
wabika	w<i1>a<asp>bik<vr>a<va>
wabingelela	w<i1>a<asp>bingelel<vr>a<va>, w<i2s>a<asp>bingelel<vr>a<va>, w<i3>a<asp>bingelel<vr>a<va>
wabiza	w<i1>a<asp>biz<vr>a<va>, w<i2s>a<asp>biz<vr>a<va>, w<i3>a<asp>biz<vr>a<va>
wabo	wa<z3>bo<pr2>
wabona	w<i1>a<asp>bon<vr>a<va>, w<i2s>a<asp>bon<vr>a<va>, w<i3>a<asp>bon<vr>a<va>
wabonakalisa	w<i1>a<asp>bon<vr>akal<xn>is<xc>a<va>, w<i2s>a<asp>bon<vr>akal<xn>is<xc>a<va>
wabonga	w<i1>a<asp>bong<vr>a<va>, w<i2s>a<asp>bong<vr>a<va>, w<i3>a<asp>bong<vr>a<va>
wabuka	w<i1>a<asp>buk<vr>a<va>, w<i2s>a<asp>buk<vr>a<va>
wabulala	w<i1>a<asp>bulal<vr>a<va>
wabuya	w<i1>a<asp>buy<vr>a<va>
wabuye	w<i1>a<asp>buy<vr>e<vps>, w<i2s>a<asp>buy<vr>e<vps>, w<i2s>a<asp>buye<mr>, w<i3>a<asp>buy<vr>e<vps>
wabuza	w<i1>a<asp>buz<vr>a<va>
wacabanga	w<i1>a<asp>cabang<vr>a<va>, w<i2s>a<asp>cabang<vr>a<va>, w<i3>a<asp>cabang<vr>a<va>
wacabangela	w<i1>a<asp>cabangel<vr>a<va>
wacela	w<i1>a<asp>cel<vr>a<va>, w<i3>a<asp>cel<vr>a<va>
wachaza	w<i1>a<asp>chaz<vr>a<va>, w<i2s>a<asp>chaz<vr>a<va>, w<i3>a<asp>chaz<vr>a<va>
wachela	w<i2s>a<asp>chel<vr>a<va>
waciba	w<i1>a<asp>cib<vr>a<va>, w<i2s>a<asp>cib<vr>a<va>, w<i3>a<asp>cib<vr>a<va>
wacondebezela	w<i1>a<asp>condebez<vr>el<xa>a<va>
wacosha	w<i1>a<asp>cosh<vr>a<va>, w<i2s>a<asp>cosh<vr>a<va>, w<i3>a<asp>cosh<vr>a<va>
wacwebezela	w<i1>a<asp>cwebezel<vr>a<va>, w<i2s>a<asp>cwebezel<vr>a<va>, w<i3>a<asp>cwebezel<vr>a<va>
wadi	wadi<nr>
wadla	w<i1>a<asp>dl<vr>a<va>, w<i2s>a<asp>dl<vr>a<va>, w<i3>a<asp>dl<vr>a<va>
wadlala	w<i1>a<asp>dlal<vr>a<va>, w<i2s>a<asp>dlal<vr>a<va>
wadlubulundela	w<i1>a<asp>dlubulund<vr>el<xa>a<va>
wadlulisa	w<i1>a<asp>dlul<vr>is<xc>a<va>
wadonsa	w<i1>a<asp>dons<vr>a<va>
wadukluza	w<i1>a<asp>dukluz<vr>a<va>, w<i2s>a<asp>dukluz<vr>a<va>, w<i3>a<asp>dukluz<vr>a<va>
wadumela	w<i1>a<asp>dumel<vr>a<va>
wafica	w<i1>a<asp>fic<vr>a<va>
wafika	w<i1>a<asp>fik<vr>a<va>, w<i2s>a<asp>fik<vr>a<va>, w<i3>a<asp>fik<vr>a<va>
wafike	w<i1>a<asp>fik<vr>e<vps>, w<i2s>a<asp>fik<vr>e<vps>
wafikelwa	w<i1>a<asp>fik<vr>el<xa>w<xp>a<va>
wafisa	w<i1>a<asp>fis<vr>a<va>, w<i2s>a<asp>fis<vr>a<va>, w<i3>a<asp>fis<vr>a<va>
wafumanisa	w<i1>a<asp>fuman<vr>is<xc>a<va>
wagadla	w<i1>a<asp>gadl<vr>a<va>
wagcina	w<i1>a<asp>gcin<vr>a<va>, w<i2s>a<asp>gcin<vr>a<va>, w<i3>a<asp>gcin<vr>a<va>
wagcwala	w<i1>a<asp>gcwal<vr>a<va>
wagelekeqeka	w<i1>a<asp>gelekeq<vr>ek<xn>a<va>, w<i2s>a<asp>gelekeq<vr>ek<xn>a<va>
wagoba	w<i1>a<asp>gob<vr>a<va>, w<i2s>a<asp>gob<vr>a<va>, w<i3>a<asp>gob<vr>a<va>
wagqanqula	w<i1>a<asp>gqanqul<vr>a<va>, w<i3>a<asp>gqanqul<vr>a<va>
wagqunqa	w<i1>a<asp>gqunq<vr>a<va>, w<i2s>a<asp>gqunq<vr>a<va>, w<i3>a<asp>gqunq<vr>a<va>
wagulukudela	w<i1>a<asp>gulukudel<vr>a<va>, w<i3>a<asp>gulukudel<vr>a<va>
wagxuma	w<i1>a<asp>gxum<vr>a<va>, w<i2s>a<asp>gxum<vr>a<va>, w<i3>a<asp>gxum<vr>a<va>
wagxumela	w<i1>a<asp>gxum<vr>el<xa>a<va>
wahalalisa	w<i1>a<asp>halal<vr>is<xc>a<va>
wahamba	w<i1>a<asp>hamb<vr>a<va>, w<i2s>a<asp>hamb<vr>a<va>
wahambisa	w<i1>a<asp>hamb<vr>is<xc>a<va>, w<i2s>a<asp>hamb<vr>is<xc>a<va>, w<i3>a<asp>hamb<vr>is<xc>a<va>
wahixileka	w<i1>a<asp>hixil<vr>ek<xn>a<va>
wahlala	w<i2s>a<asp>hlal<vr>a<va>
wahlangana	w<i1>a<asp>hlangan<vr>a<va>
wahle	w<i1>a<asp>hle<mr>
wahlehlela	w<i2s>a<asp>hlehl<vr>el<xa>a<va>
wahleka	w<i1>a<asp>hlek<vr>a<va>, w<i2s>a<asp>hlek<vr>a<va>, w<i3>a<asp>hlek<vr>a<va>
wahlephula	w<i2s>a<asp>hlephul<vr>a<va>
